"user_id","hotel_hunter_index","average_bags_scaled","cancellation_rate_scaled","bargain_hunter_index","combined_booking_scaled","session_intensity_index"
"101961","","0.08","0","0.00005766928605685565","1","0.17626728110599077"
"106907","","1","0.5","","1","0.43430966993087555"
"181157","0.0004945031977594783","0.2","0","0.004943052580555595","1","0.2920506912442396"
"190866","","0.08","0","","1","0.6307603686635945"
"204997","0.0008980200365060123","0.06666666666666667","0.4","0.011773564734933517","0.8","0.1614463168202765"
"229009","","0.06666666666666667","0.25","","0.75","0.4463423398617511"
"252835","","0.12","0","0.0017436330747771101","0.8","0.2523041474654378"
"281952","0.006655728796555615","0.3","0","","1","0.4683179723502304"
"283325","","0","0","0.007137113895119604","0.5","0.42338709677419356"
"299476","","0","0","","1","0.4268433179723502"
"316527","0.00002037787902854993","0.05","0","","1","0.5529953917050691"
"340166","","","0","","0","0.506336405529954"
"353271","","0","0","","1","0.4683179723502304"
"354050","0.00011495213810976887","0.04","0","0.00012112902098978376","1","0.3335253456221198"
"354260","","0.2","0","","0.5","0.4544930875576037"
"354311","","0.1","0","","0.5","0.44239631336405527"
"357737","0.0001926179826944781","0.05","0.16666666666666666","","0.8333333333333334","0.39573732718894006"
"361459","","0.2","0","","1","0.4631336405529954"
"365825","","0.2","0.3333333333333333","","0.6666666666666666","0.31451612903225806"
"372970","","0.1","0","","1","0.2713133640552995"
"373489","","0.6","0","0.10196072776323703","1","0.4631336405529954"
"374331","","0.2","0.3333333333333333","","0.3333333333333333","0.466589861751152"
"374341","","","0","","0","0.527073732718894"
"375729","","0.06666666666666667","0","0.010804212853008213","1","0.3611751152073733"
"378565","","0.1","0","0.0011860561118102316","0.4","0.4095622119815668"
"380757","0.00009166313350571177","0.06666666666666667","0","","1","0.5408986175115207"
"382384","","0.2","0","","1","0.45103686635944695"
"385689","","0.06666666666666667","0","0.001414523781001722","0.75","0.2523041474654378"
"388767","","0.2","0","","1","0.3058755760368663"
"389759","","0.06666666666666667","0","0.001085968980257011","1","0.4337557603686636"
"395981","","0.2","0","0.008930643208782311","1","0.2799539170506912"
"401245","","0","0","0.0010039540693494615","0.6666666666666666","0.19873271889400923"
"403881","","0.15","0","","1","0.34389400921658986"
"404879","","0.1","0","","0.75","0.3870967741935484"
"409073","","0.2","0","","1","0.4147465437788018"
"413340","","0.13333333333333333","0","","0.3333333333333333","0.3076036866359447"
"413658","","0.3","0.25","","0.5","0.41794735714285713"
"418692","0.0016555007923147367","0.06666666666666667","0.25","0.00003978052958502143","1","0.5201612903225807"
"420669","","0.13333333333333333","0.3333333333333333","","0.6666666666666666","0.3645736313364055"
"421870","","0.5333333333333333","0","0.0005822445505896441","0.6666666666666666","0.34043778801843316"
"425953","0.00009823182711198428","0","0","0.002591926173729031","1","0.45276497695852536"
"425966","","0.1","0","","1","0.3663594470046083"
"428858","","0.1","0.25","","0.75","0.35599078341013823"
"431746","0.0036178572921456336","0.4","0","","1","0.2402073732718894"
"431912","","0.2","0","","0","0.4372119815668203"
"433080","0.00046607866906324456","0.15","0","","1","0.4769585253456221"
"433339","","0.2","0","","0.5","0.34389400921658986"
"437069","0.0001288693381461601","0.12","0","0.00037754133328944667","1","0.45794930875576034"
"437251","","0.06666666666666667","0","","1","0.45103686635944695"
"438189","0.00022589140158006942","0.16666666666666669","0","","0.8333333333333334","0.5961981566820277"
"438937","0.007201228942858336","0.1","0","","1","0.4199308755760368"
