,user_id,gender,married,has_children,age,hotel_hunter_index,average_bags_scaled,cancellation_rate_scaled,bargain_hunter_index,combined_booking_scaled,session_intensity_index,rank_hotel_hunter,rank_ave_bags,rank_cancellation_rank,rank_bargain_hunter,rank_combined_booking,rank_session_activity,min,most_attractive_perk
0,623949,False,True,False,47,,0.1333333333333333,0.0,0.0089294117001026,1.0,0.3836405529953917,,2063.0,3069.0,255.0,1233.0,3643.0,255.0,Exclusive Discount
1,385689,True,False,True,48,,0.0666666666666666,0.0,0.0014145237810017,0.75,0.2523041474654378,,3647.5,3069.0,995.0,2995.5,5812.5,995.0,Exclusive Discount
2,510707,True,False,True,40,,0.2,0.0,,0.5,0.4216589861751152,,913.5,3069.0,,4343.5,2578.5,913.5,Free Checked Bag
3,520959,True,False,False,48,0.0203841491451741,0.0,0.0,,1.0,0.3352534562211982,28.0,4635.0,3069.0,,1233.0,4837.5,28.0,Free Hotel Meal
4,527321,True,False,False,17,,,0.0,,0.0,0.248847926267281,,,3069.0,,5283.5,5830.0,3069.0,No Cancellation Fee
5,388767,True,True,True,44,,0.2,0.0,,1.0,0.3058755760368663,,913.5,3069.0,,1233.0,5320.0,913.5,Free Checked Bag
6,555310,False,True,False,38,0.0008232663127534,0.16,0.1428571428571428,,0.8571428571428571,0.3684544372119815,651.0,1572.5,585.5,,2474.5,4043.0,585.5,No Cancellation Fee
7,474007,True,False,False,17,,0.0,0.0,,1.0,0.4648617511520737,,4635.0,3069.0,,1233.0,1511.5,1233.0,Night Free Hotel with Flight
8,547776,True,False,False,43,0.0092962540531825,0.2,0.0,,1.0,0.3559907834101382,71.0,913.5,3069.0,,1233.0,4394.5,71.0,Free Hotel Meal
9,502609,True,True,False,49,,0.0,0.0,0.0001239532459225,1.0,0.466589861751152,,4635.0,3069.0,1596.0,1233.0,1473.5,1233.0,Night Free Hotel with Flight
10,538270,True,False,False,33,,0.1,0.0,,1.0,0.5616359447004609,,2866.5,3069.0,,1233.0,238.0,238.0,Active Searcher
11,535473,True,True,False,59,,0.2,0.0,,0.0,0.597926267281106,,913.5,3069.0,,5283.5,87.5,87.5,Active Searcher
12,563544,True,True,True,49,0.0002899453929843,0.2,0.0,,1.0,0.298963133640553,1020.0,913.5,3069.0,,1233.0,5417.0,913.5,Free Checked Bag
13,535795,True,True,True,53,0.0003748136382003,0.16,0.0,0.000732694868705,1.0,0.3646313364055299,948.0,1572.5,3069.0,1226.0,1233.0,4163.5,948.0,Free Hotel Meal
14,671368,True,True,False,41,,0.2,0.0,0.0018521904809501,1.0,0.4302995391705069,,913.5,3069.0,877.0,1233.0,2347.5,877.0,Exclusive Discount
15,512628,True,False,False,34,0.0002423641233573,0.1333333333333333,0.0,,0.75,0.3784562211981566,1079.0,2063.0,3069.0,,2995.5,3792.5,1079.0,Free Hotel Meal
16,612220,False,False,False,16,,0.3,0.3333333333333333,0.0232196795454619,0.3333333333333333,0.4285714285714286,,178.5,175.5,92.0,4862.5,2396.0,92.0,Exclusive Discount
17,659744,True,True,True,47,7.07763164394e-05,0.0,0.0,,0.5,0.4752304147465438,1437.0,4635.0,3069.0,,4343.5,1274.0,1274.0,Active Searcher
18,586701,False,False,False,41,,0.0666666666666666,0.0,0.0017107327974902,0.75,0.2644009216589861,,3647.5,3069.0,922.0,2995.5,5737.5,922.0,Exclusive Discount
19,521642,True,True,False,58,5.12059524307e-05,,0.0,,0.0,0.5149769585253456,1485.0,,3069.0,,5283.5,608.0,608.0,Active Searcher
20,547164,True,False,False,30,,0.0,0.3333333333333333,0.0041903193176385,0.6666666666666666,0.309331797235023,,4635.0,175.5,516.0,3514.5,5279.5,175.5,No Cancellation Fee
21,518826,True,False,True,38,,0.0,0.0,,1.0,0.4009216589861751,,4635.0,3069.0,,1233.0,3196.0,1233.0,Night Free Hotel with Flight
22,613874,True,True,False,54,,0.15,0.0,0.0215554318697307,1.0,0.3387096774193548,,1704.5,3069.0,99.0,1233.0,4769.5,99.0,Exclusive Discount
23,595283,True,True,False,54,,0.2,0.0,0.0072313896012413,0.0,0.4268433179723502,,913.5,3069.0,352.0,5283.5,2438.5,352.0,Exclusive Discount
24,539883,True,False,False,46,,0.25,0.0,7.54374305742e-05,0.6,0.4994239631336405,,277.5,3069.0,1657.0,3890.0,833.0,277.5,Free Checked Bag
25,471161,True,False,False,40,0.0057779124691719,0.3,0.0,0.0024063042639472,1.0,0.4544930875576037,126.0,178.5,3069.0,732.0,1233.0,1735.0,126.0,Free Hotel Meal
